restaurant_name,address,location,primary_cuisine,rating,votes,cost_for_two,sentiment_compound,cluster,segment
Bombay Kulfis,"Ranka Colony, Bilekahalli, Bannerghatta Road, Bangalore",Bannerghatta Road,Ice Cream,3.5,9,200,0.432,4,Hidden gems
Bombay Sandwich Company,"180 ,1st Floor, Above Apollo Gym Punappa Layout, HBR Layout, Hennur, Bangalore",Hennur,Sandwich,3.7,41,400,0.976,0,Mass-market favourites
Bombay Sandwich Company,"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Sandwich,3.6,34,400,0.018,2,Premium destination
Bombay Sandwich Company,"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Sandwich,3.6,34,400,0.046,2,Premium destination
Bombay Sandwich Company,"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Sandwich,3.6,34,400,-0.014,2,Premium destination
Bombay Sandwich Company,"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Sandwich,3.6,34,400,0.067,2,Premium destination
Bombay Sandwich Company,"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Sandwich,3.6,34,400,0.228,4,Hidden gems
Bombay Sandwich Company,"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Sandwich,3.6,34,400,0.112,2,Premium destination
Bombay Sandwich Company,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Sarjapur Road,Sandwich,3.5,32,400,0.169,4,Hidden gems
Bombay Sandwich Company,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Sarjapur Road,Sandwich,3.5,32,400,-0.612,2,Premium destination
Bombay Sandwich Company,"836, 1st Floor, Near Bharat Petrol Pump, Maruthi Nagar, Basavanna Nagar, Whitefield, Bangalore",Whitefield,Sandwich,3.4,42,400,0.258,4,Hidden gems
